City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Verkhoyansk,67.54,133.38,1.15,91,100,1.88,RU,1603913681
Hofn,64.25,-15.21,42.8,75,90,14.99,IS,1603913681
Pevek,69.7,170.31,21.16,97,100,8.7,RU,1603913681
Saint-Philippe,-21.36,55.77,73.4,73,0,11.41,RE,1603913682
Suntar,62.14,117.63,9.93,90,14,5.14,RU,1603913682
Tilichiki,60.47,166.1,20.62,91,0,6.46,RU,1603913418
Bethel,41.37,-73.41,53.01,93,90,7.23,US,1603913682
Linxia Chengguanzhen,35.6,103.21,36.25,80,0,0.78,CN,1603913682
Hasaki,35.73,140.83,55.4,100,75,2.24,JP,1603913682
Benguela,-12.58,13.41,76.37,80,100,7.2,AO,1603913682
Coyhaique,-45.58,-72.07,51.8,43,75,12.75,CL,1603913394
Birin,26.89,88.07,55.09,50,0,6.38,NP,1603913722
Port Alfred,-33.59,26.89,66.22,86,86,2.71,ZA,1603913722
Okmulgee,35.62,-95.96,41,100,90,13.87,US,1603913722
Leh,34.17,77.58,31.57,71,0,4.54,IN,1603913486
Tabas,33.6,56.92,64.4,20,0,4.7,IR,1603913723
Huntington,38.42,-82.45,68,82,90,5.82,US,1603913680
Hithadhoo,-0.6,73.08,83.23,74,6,11.18,MV,1603913723
Lorengau,-2.02,147.27,80.49,75,93,3.6,PG,1603913723
Leningradskiy,69.38,178.42,18.46,92,100,7.78,RU,1603913723
Tuatapere,-46.13,167.68,48.99,86,100,3,NZ,1603913723
Belpasso,37.59,14.98,60.8,67,0,8.05,IT,1603913723
Beloha,-25.17,45.05,70.2,78,7,20.78,MG,1603913723
Dogondoutchi,13.64,4.03,88.12,13,9,7.45,NE,1603913723
Saint-Joseph,-21.37,55.62,73.4,73,0,11.41,RE,1603913723
Avarua,-21.21,-159.78,73.4,83,36,10.29,CK,1603913723
Kapaa,22.08,-159.32,77,83,40,4.74,US,1603913723
Colorado Springs,38.83,-104.82,50,49,75,23.04,US,1603913458
Vershino-Shakhtaminskiy,51.3,117.89,21.7,89,0,3.49,RU,1603913724
Vao,-22.67,167.48,72.03,76,0,19.22,NC,1603913724
Vanavara,60.34,102.28,23.54,97,100,9.98,RU,1603913724
Rionegro,6.16,-75.37,64.99,72,75,10.29,CO,1603913509
Atuona,-9.8,-139.03,78.3,67,21,14.65,PF,1603913724
Kahului,20.89,-156.47,82.4,69,40,13.87,US,1603913583
Dikson,73.51,80.55,2.71,92,2,22.35,RU,1603913724
Tasiilaq,65.61,-37.64,35.6,34,75,20.8,GL,1603913724
Toora-Khem,52.47,96.11,26.35,94,10,2.73,RU,1603913724
Oranjemund,-28.55,16.43,59.67,77,91,5.75,NA,1603913724
Istanbul,41.04,28.98,66.2,88,40,9.17,TR,1603913538
Olafsvik,64.89,-23.71,42.26,72,0,24.16,IS,1603913724
Bathsheba,13.22,-59.52,77,94,75,16.11,BB,1603913724
Nabire,-3.37,135.48,75.54,84,94,3.6,ID,1603913725
Port Elizabeth,-33.92,25.57,62.6,93,43,9.17,ZA,1603913725
Paceco,37.98,12.56,66.2,63,40,10.29,IT,1603913725
Flagstaff,35.2,-111.65,62.01,27,1,18.34,US,1603913725
Palestine,31.92,35.2,77,73,40,4.7,PS,1603913725
Upernavik,72.79,-56.15,11.98,82,0,9.13,GL,1603913722
Lavaca,28.61,-96.63,60.8,63,90,17.22,US,1603913725
Capitão Poço,-1.75,-47.06,90.09,50,85,7.65,BR,1603913725
East London,-33.02,27.91,69.8,88,75,5.82,ZA,1603913726
Sungai Raya,0.7,108.9,78.78,88,74,5.12,ID,1603913726
Hilo,19.73,-155.09,81,65,1,8.05,US,1603913674
Ambon City,-3.7,128.18,81,92,100,6.11,ID,1603913726
Grand Gaube,-20.01,57.66,72,74,2,5.01,MU,1603913726
Hirado,33.36,129.55,62.01,77,66,4,JP,1603913726
Meulaboh,4.14,96.13,76.21,85,100,3.71,ID,1603913726
Adrar,20.5,-10.07,84.87,15,0,10.42,MR,1603913726
Northport,33.23,-87.58,78.8,88,90,5.82,US,1603913500
College,64.86,-147.8,17.6,84,40,2.37,US,1603913726
Kaitangata,-46.28,169.85,51.01,85,100,11.01,NZ,1603913726
Gushikawa,26.35,127.87,75.2,88,1,5.82,JP,1603913767
Ormara,25.21,64.64,79.09,34,0,10.22,PK,1603913767
Mount Gambier,-37.83,140.77,46.4,93,40,4.41,AU,1603913767
Pisco,-13.7,-76.22,69.8,68,0,21.92,PE,1603913767
Castro,-24.79,-50.01,79.66,42,0,4.32,BR,1603913767
Lang Son,21.83,106.73,66.2,91,100,10.87,VN,1603913767
Cidreira,-30.18,-50.21,71.98,72,13,10.89,BR,1603913767
Ponta do Sol,32.67,-17.1,68,72,40,6.93,PT,1603913767
Butaritari,3.07,172.79,80.56,72,100,3.13,KI,1603913767
Provideniya,64.38,-173.3,21.2,67,0,2.24,RU,1603913768
Valdivia,-39.81,-73.25,59,58,0,10.29,CL,1603913768
Panjāb,34.39,67.02,25.27,83,0,5.55,AF,1603913768
Straumen,63.87,11.3,46,93,40,9.17,NO,1603913768
Khani,41.96,42.96,69.8,46,0,25.28,GE,1603913768
Arrondissement de Saint-Denis,48.92,2.33,55.99,76,75,18.34,FR,1603913768
Khatanga,71.97,102.5,-1.88,87,0,4.76,RU,1603913768
Ossora,59.24,163.07,32.18,92,97,5.06,RU,1603913769
Mikhaylovka,50.06,43.24,37,59,0,3,RU,1603913769
Huarmey,-10.07,-78.15,69.64,67,91,12.15,PE,1603913769
Betsiamites,48.94,-68.65,33.8,85,90,13.87,CA,1603913769
Rawson,-43.3,-65.1,55.33,39,42,23.33,AR,1603913769
Ayr,55.46,-4.63,50,76,75,12.75,GB,1603913701
Banff,51.18,-115.57,41,69,85,10.29,CA,1603913769
Agüimes,27.91,-15.45,71.6,56,75,20.8,ES,1603913769
Salalah,17.02,54.09,82.4,74,20,1.12,OM,1603913770
Albanel,48.88,-72.45,32,82,100,12.75,CA,1603913770
Simao,22.79,100.97,61.5,89,100,2.44,CN,1603913770
Christchurch,-43.53,172.63,54,93,100,6.93,NZ,1603913770
San Andrés,12.58,-81.7,87.8,74,20,12.75,CO,1603913720
Nome,64.5,-165.41,17.6,78,1,5.7,US,1603913770
Barabinsk,55.36,78.36,19.74,95,0,11.97,RU,1603913770
Fortuna,40.6,-124.16,71.01,34,20,4.7,US,1603913770
Manjacaze,-24.71,33.88,72.25,71,0,11.7,MZ,1603913771
Nelson Bay,-32.72,152.15,60.01,100,90,4.7,AU,1603913771
Saint-Augustin,51.23,-58.65,31.42,82,19,6.51,CA,1603913771
Half Moon Bay,37.46,-122.43,72,55,1,6.93,US,1603913771
Xai-Xai,-25.05,33.64,74.57,64,0,11.48,MZ,1603913771
Sampit,-2.53,112.95,74.12,96,67,1.21,ID,1603913771
Alofi,-19.06,-169.92,75.2,73,26,18.34,NU,1603913771
Lavrentiya,65.58,-171,25.59,88,95,3.36,RU,1603913771
Sinnamary,5.38,-52.95,84.79,70,0,12.68,GF,1603913772
Ferrol,43.48,-8.24,57.2,82,75,10.29,ES,1603913772
Bāfq,31.61,55.41,55.36,36,0,3.58,IR,1603913772
Kamiiso,41.82,140.65,49.44,83,36,12.73,JP,1603913772
Necochea,-38.55,-58.74,62.01,54,100,8.99,AR,1603913772
Dodge City,37.75,-100.02,42.8,52,90,11.41,US,1603913578
Nhulunbuy,-12.23,136.77,77,83,40,3.4,AU,1603913772
La Rioja,42.25,-2.5,57.2,76,20,3.87,ES,1603913756
Burns Lake,54.23,-125.75,32,85,100,3.36,CA,1603913772
Iquitos,-3.75,-73.25,87.8,74,75,5.82,PE,1603913667
Mastic Beach,40.77,-72.85,57,87,90,5.82,US,1603913760
Tokur,53.13,132.9,25.11,97,99,2.48,RU,1603913813
Sabzawār,36.21,57.68,47.44,53,0,7.36,IR,1603913813
Sisimiut,66.94,-53.67,19.08,89,100,7.36,GL,1603913813
Bonavista,48.65,-53.11,37,74,100,4.7,CA,1603913813
Conceição do Araguaia,-8.26,-49.26,89.42,51,89,6.31,BR,1603913813
Airai,-8.93,125.41,59.77,78,67,2.21,TL,1603913813
Cherskiy,68.75,161.3,4.53,94,100,6.44,RU,1603913813
Tessalit,20.2,1.01,81.72,15,0,9.08,ML,1603913814
Talnakh,69.49,88.4,-1.97,76,0,4.88,RU,1603913814
Takhtamygda,54.1,123.57,12.09,93,84,2.77,RU,1603913814
Kindu,-2.95,25.95,70.38,97,51,2.42,CD,1603913814
Mossamedes,-15.2,12.15,70.18,82,84,5.82,AO,1603913814
Broome,42.25,-75.83,52,87,90,9.17,US,1603913814
Shiyan,32.65,110.78,50.18,76,31,3.06,CN,1603913814
Tsimmerbude,54.67,20.13,50,87,75,4.47,RU,1603913814
Mahon,39.89,4.27,64.4,77,0,8.05,ES,1603913814
Namatanai,-3.67,152.43,79.68,81,100,4.5,PG,1603913814
Clyde River,70.47,-68.59,15.8,78,75,19.46,CA,1603913815
Nizhniy Mamon,50.19,40.51,40.93,65,0,9.71,RU,1603913815
Touba,8.28,-7.68,75.63,63,2,1.45,CI,1603913815
Le Moule,16.33,-61.35,82.4,74,0,10.29,GP,1603913815
Tanabi,-20.63,-49.65,93.2,24,40,5.82,BR,1603913815
Voh,-20.97,164.7,74.98,72,0,6.53,NC,1603913815
Camacha,33.08,-16.33,66.2,88,75,6.93,PT,1603913815
Shelburne,44.08,-80.2,51.01,44,0,15.95,CA,1603913815
Samarai,-10.62,150.67,79.95,82,83,5.12,PG,1603913815
Strai,58.2,7.9,51.01,81,75,9.17,NO,1603913815
Maragogi,-9.01,-35.22,77.5,76,98,11.3,BR,1603913815
Sakakah,29.97,40.21,75.2,13,0,12.75,SA,1603913815
Longyearbyen,78.22,15.64,30.2,74,75,10.29,SJ,1603913816
Makhinjauri,41.67,41.69,71.6,40,0,26.4,GE,1603913816
Coxim,-18.51,-54.76,91.35,50,52,7.36,BR,1603913816
Isangel,-19.55,169.27,75.31,68,35,14.92,VU,1603913645
Hambantota,6.12,81.12,77,100,75,2.24,LK,1603913816
Garoua,9.3,13.4,82.4,45,0,6.93,CM,1603913816
Faya,18.39,42.45,62.6,17,0,6.93,SA,1603913816
Dingle,11,122.67,75.52,89,34,4.41,PH,1603913816
Sudak,44.85,34.97,64.4,67,80,5.97,UA,1603913816
Santa Quitéria,-4.33,-40.16,94.46,32,2,8.39,BR,1603913542
Nikolskoye,59.7,30.79,46.99,87,0,6.71,RU,1603913785
Port Hedland,-20.32,118.57,73.4,88,90,6.93,AU,1603913817
Zhuhai,22.28,113.57,75.2,94,40,11.41,CN,1603913817
São João da Barra,-21.64,-41.05,86,66,20,20.8,BR,1603913669
Kruisfontein,-34,24.73,64,88,16,1.01,ZA,1603913817
Pitkyaranta,61.57,31.48,46.67,87,100,14.43,RU,1603913817
Tuktoyaktuk,69.45,-133.04,21.2,92,90,25.28,CA,1603913817
Aleksandrovsk-Sakhalinskiy,50.9,142.16,36.73,84,60,5.68,RU,1603913817
Sitka,57.05,-135.33,42.8,81,90,4.7,US,1603913857
Várzea Grande,-15.65,-56.13,80.6,69,40,5.82,BR,1603913857
Muhos,64.81,25.99,46.4,87,90,8.05,FI,1603913857
Jinchang,38.5,102.17,40.86,62,0,1.28,CN,1603913857
Klaksvík,62.23,-6.59,46.4,87,97,11.41,FO,1603913858
Mongo,12.18,18.69,89.22,27,98,2.15,TD,1603913858
Saint-François,46.42,3.91,57.2,67,90,4.7,FR,1603913858
Noumea,-22.28,166.46,78.01,64,0,5.82,NC,1603913858
Buraidah,26.33,43.98,73.4,25,0,9.17,SA,1603913858
Nanortalik,60.14,-45.24,32.74,93,100,14.79,GL,1603913858
Jabonga,9.34,125.52,76.69,83,56,1.7,PH,1603913858
Mbanza-Ngungu,-5.25,14.87,70.41,99,100,3.49,CD,1603913858
Cayenne,4.93,-52.33,87.8,62,40,12.75,GF,1603913859
Buchanan,5.88,-10.05,80.6,94,75,3.36,LR,1603913859
Zinder,13.81,8.99,87.8,19,0,4.7,NE,1603913859
Ulaanbaatar,47.91,106.88,14,66,0,2.24,MN,1603913845
Kunyang,27.67,120.57,63.07,81,94,3.47,CN,1603913859
Rome,43.21,-75.46,50,81,90,9.17,US,1603913859
Saint Paul Harbor,57.79,-152.41,39.2,60,1,6.93,US,1603913859
Iqaluit,63.75,-68.51,17.6,61,90,9.17,CA,1603913859
Lajosmizse,47.02,19.56,50,100,75,1.95,HU,1603913859
Pangody,65.85,74.49,-0.67,87,2,4.92,RU,1603913859
Noyabrsk,63.2,75.45,1.76,91,0,8.46,RU,1603913859
Igarka,67.47,86.58,3.52,86,1,12.21,RU,1603913860
Ashtabula,41.7,-80.77,53.01,71,40,12.75,US,1603913860
Ostrovnoy,68.05,39.51,38.71,87,100,16.62,RU,1603913860
Tura,25.52,90.22,70.81,90,0,3.58,IN,1603913860
Tuy Hoa,13.08,109.3,75.04,78,98,3.6,VN,1603913860
Usinsk,65.99,57.53,35.44,97,100,22.35,RU,1603913860
Berlevåg,70.86,29.09,37.4,81,75,14.99,NO,1603913860
San Vicente,-26.62,-54.13,86.9,21,0,2.28,AR,1603913860
Luebo,-5.35,21.42,71.31,94,77,2.51,CD,1603913860
Codrington,-38.27,141.97,44.98,90,55,5.99,AU,1603913860
Sosnovo-Ozerskoye,52.52,111.54,26.06,91,58,5.1,RU,1603913861
Orlik,52.52,99.83,22.37,81,69,2.44,RU,1603913861
Charleston,32.78,-79.93,82.4,65,1,8.05,US,1603913703
Andradas,-22.07,-46.57,82.4,30,0,5.64,BR,1603913861
Narsaq,60.92,-46.05,30.2,80,75,3.31,GL,1603913861
Alice Springs,-23.7,133.88,59,24,0,5.82,AU,1603913861
Bandarbeyla,9.49,50.81,77.68,86,28,9.66,SO,1603913861
Casino,-28.87,153.05,62.6,100,32,4.7,AU,1603913861
Thinadhoo,0.53,72.93,83.41,74,100,10.63,MV,1603913861
Tulun,54.56,100.58,34.16,89,100,7.63,RU,1603913861
Ocós,14.51,-92.19,89.6,66,40,6.93,GT,1603913861
Ust-Nera,64.57,143.2,3.4,75,97,1.86,RU,1603913862
Dwārka,22.24,68.97,80.06,59,2,8.7,IN,1603913862
Korla,41.76,86.15,48.99,58,3,1.99,CN,1603913862
San Juan,-31.54,-68.54,73.38,21,0,19.3,AR,1603913704
Tabory,58.52,64.55,33.66,91,100,6.49,RU,1603913862
Kutum,14.2,24.67,77.34,21,10,11.32,SD,1603913902
Inuvik,68.35,-133.72,12.2,85,24,2.24,CA,1603913902
Gwadar,25.12,62.33,75.09,62,0,5.82,PK,1603913902
Vredendal,-31.67,18.5,59.76,71,100,8.97,ZA,1603913902
Naze,28.37,129.48,62.6,93,68,3.36,JP,1603913902
Bukene,-4.23,32.88,76.41,50,96,4.74,TZ,1603913902
Taoudenni,22.68,-3.98,85.08,15,0,4.76,ML,1603913903
Banyliv,48.37,25.35,48.29,85,64,3.27,UA,1603913903
Stromness,58.97,-3.3,46.4,87,40,6.93,GB,1603913903
Ulladulla,-35.35,150.47,57.2,93,90,4.7,AU,1603913903
Mayumba,-3.43,10.66,75.04,84,100,2.01,GA,1603913903
Kavieng,-2.57,150.8,82.58,69,100,2.86,PG,1603913903
Praia da Vitória,38.73,-27.07,68,60,20,15.3,PT,1603913903
Yulara,-25.24,130.99,62.6,33,0,5.82,AU,1603913903
Maryborough,-25.53,152.7,68,88,8,4.14,AU,1603913903
Yerbogachën,61.28,108.01,16.77,89,100,13.89,RU,1603913903
Faanui,-16.48,-151.75,79.88,80,13,16.73,PF,1603913903
Sangar,63.92,127.47,-4.43,91,24,6.62,RU,1603913904
Bestöbe,52.5,73.1,27.81,93,87,9.57,KZ,1603913904
Sola,-13.88,167.55,80.6,83,75,6.93,VU,1603913904
Grindavik,63.84,-22.43,42.8,56,0,18.34,IS,1603913904
Palmer,42.16,-72.33,48.99,93,90,3,US,1603913904
Te Anau,-45.42,167.72,49.71,84,90,0.58,NZ,1603913904
Ebeltoft,56.19,10.68,48.2,87,47,4.7,DK,1603913904
Kanye,-24.97,25.33,75.47,26,0,7.49,BW,1603913904
Santa Isabel Rio Negro,-0.41,-65.02,96.19,42,52,3.09,BR,1603913905
Morant Bay,17.88,-76.41,87.01,74,40,10.29,JM,1603913905
Matara,5.95,80.54,77.49,88,72,7.45,LK,1603913905
Sassenberg,52,8.05,54,87,20,9.17,DE,1603913905
Kaduna,10.52,7.44,75.96,32,20,5.17,NG,1603913905
Comodoro Rivadavia,-45.87,-67.5,62.6,36,20,6.93,AR,1603913905
Shanhecun,44.7,127.2,30.04,88,0,7.27,CN,1603913905
Gōtsuchō,35,132.22,56.71,77,8,5.93,JP,1603913905
Lebu,-37.62,-73.65,53.71,65,0,17.85,CL,1603913905
Roald,62.58,6.13,48.99,70,40,8.05,NO,1603913905
Ozernovskiy,51.5,156.52,42.76,73,34,2.98,RU,1603913905
Vieux-Habitants,16.06,-61.77,82.4,74,0,10.29,GP,1603913906
Lata,40.16,-8.33,61,84,0,1.28,PT,1603913906
Twentynine Palms,34.14,-116.05,73.99,11,1,11.41,US,1603913906
Shingū,33.73,135.98,57.29,83,4,5.84,JP,1603913906
Mount Isa,-20.73,139.5,57.2,28,0,5.82,AU,1603913906
Mahbūbnagar,16.73,77.98,70.2,73,100,5.55,IN,1603913906
Mangai,-4.05,19.53,69.15,99,100,0.81,CD,1603913906
Esperance,-33.87,121.9,51.8,81,75,6.93,AU,1603913906
el Prat de Llobregat,41.33,2.09,64,67,20,3.36,ES,1603913906
Torbay,47.67,-52.73,37,79,75,8.05,CA,1603913716
Jacksonville,30.33,-81.66,88,70,75,12.75,US,1603913803
Kalianget,-7.05,113.93,82.4,76,30,7.49,ID,1603913907
Vestmannaeyjar,63.44,-20.27,45.37,75,100,32.08,IS,1603913907
Labuhan,-6.88,112.21,79,85,94,7.14,ID,1603913947
Liseleje,56.01,11.95,48,91,10,5.01,DK,1603913947
Ereymentau,51.62,73.1,26.76,97,95,11.86,KZ,1603913947
Bandiagara,14.35,-3.61,89.6,49,0,4.7,ML,1603913947
Churapcha,62,132.43,5.22,94,100,4.68,RU,1603913947
Kiryat Gat,31.61,34.76,77,100,98,5.82,IL,1603913877
Santiago del Estero,-27.8,-64.26,89.92,30,47,25.43,AR,1603913947
Leżajsk,50.26,22.42,48.2,100,98,5.82,PL,1603913947
Menongue,-14.66,17.69,66,81,100,3.04,AO,1603913948
Karpogory,64,44.45,42.46,92,100,11.18,RU,1603913948
Guánica,17.97,-66.91,79,82,17,5.5,PR,1603913948
Sibolga,1.74,98.78,76.75,79,100,3.11,ID,1603913948
Virginia Beach,36.85,-75.98,75,77,100,1.01,US,1603913316
Gigmoto,13.78,124.39,79.79,84,99,6.42,PH,1603913948
Stornoway,58.21,-6.39,46.4,87,40,12.75,GB,1603913948
Buin,-33.73,-70.75,73.4,26,0,5.82,CL,1603913948
Kawalu,-7.38,108.21,71.35,92,98,0.56,ID,1603913904
Lafia,8.48,8.52,78.57,49,0,1.34,NG,1603913948
Sahuaripa,29.05,-109.23,72.37,19,0,4.65,MX,1603913948
Gizo Government Station,-8.1,156.84,82.89,79,99,9.98,SB,1603913891
Moengo,5.62,-54.4,87.24,59,12,8.32,SR,1603913949
St Helens,53.45,-2.73,48.2,76,20,9.17,GB,1603913949
Yankton,42.87,-97.4,50,53,1,21.92,US,1603913949
Marawi,8,124.29,71.01,95,97,1.99,PH,1603913801
Ternate,0.8,127.4,80.65,76,100,10.83,ID,1603913949
Kumul,42.8,93.45,45.48,48,100,3.94,CN,1603913912
Wanaka,-44.7,169.15,55,83,80,1.01,NZ,1603913949
Searcy,35.25,-91.74,50,100,90,11.41,US,1603913949
Kenai,60.55,-151.26,28.99,92,90,5.82,US,1603913712
Mugur-Aksy,50.35,90.5,23,87,43,4.72,RU,1603913949
Sikasso,10.92,-7,79.81,38,40,3.31,ML,1603913949
Barcelos,41.54,-8.62,59,93,75,1.59,PT,1603913711
Kununurra,-15.77,128.73,77,94,99,3.89,AU,1603913949
Cooma,-36.23,149.13,46.4,100,40,1.79,AU,1603913949
Prince Rupert,54.32,-130.32,44.6,100,100,1.5,CA,1603913949
Cangzhou,38.32,116.87,50.41,42,100,3.58,CN,1603913950
Pyshchug,58.89,45.71,37.38,91,100,8.28,RU,1603913950
Solikamsk,59.62,56.77,31.62,95,35,10.11,RU,1603913950
Visnagar,23.7,72.55,71.6,68,0,3.65,IN,1603913950
Lambaréné,-0.7,10.24,74.98,91,100,0.45,GA,1603913950
Fushun,41.86,123.92,26.6,73,0,2.24,CN,1603913950
Cap Malheureux,-19.98,57.61,72,74,0,5.01,MU,1603913802
Valparaíso,-33.04,-71.63,75.2,39,0,19.46,CL,1603913797
Margate,51.38,1.39,51.01,82,100,3,GB,1603913784
Southbridge,42.08,-72.03,48.99,99,100,2.82,US,1603913950
Erzin,36.96,36.2,75,82,0,1.66,TR,1603913845
Arlit,18.74,7.39,83.93,13,0,12.55,NE,1603913950
Natal,-5.79,-35.21,82.4,69,40,16.11,BR,1603913950
Marabba,12.35,32.18,89.49,27,28,2.8,SD,1603913951
Houston,29.76,-95.36,52,87,90,14.99,US,1603913239
Łobez,53.64,15.62,46,93,100,1.99,PL,1603913991
Kangaba,11.93,-8.42,78.89,20,3,4.25,ML,1603913991
Portland,45.52,-122.68,60.01,81,20,3.36,US,1603913705
Jalu,29.03,21.55,68.38,54,0,14.65,LY,1603913991
Vardø,70.37,31.11,35.6,79,0,18.34,NO,1603913845
Lillesand,58.25,8.38,51.01,81,75,9.17,NO,1603913991
Wakkanai,45.41,141.67,51.24,70,100,19.26,JP,1603913991
